Accession	Sample Name	SPUID	Organism	Tax ID	Strain	
SAMN10789287	1_HTH_CT_1_COP	1_HTH_CT_1_COP	mouse gut metagenome	410661	not applicable	
SAMN10789288	2_HTH_CT_2_COP	2_HTH_CT_2_COP	mouse gut metagenome	410661	not applicable	
SAMN10789289	3_HTH_CT_3_COP	3_HTH_CT_3_COP	mouse gut metagenome	410661	not applicable	
SAMN10789290	4_HTH_CT_1_COD	4_HTH_CT_1_COD	mouse gut metagenome	410661	not applicable	
SAMN10789291	5_HTH_CT_2_COD	5_HTH_CT_2_COD	mouse gut metagenome	410661	not applicable	
SAMN10789292	6_HTH_CT_3_COD	6_HTH_CT_3_COD	mouse gut metagenome	410661	not applicable	
SAMN10789293	7_HTH_CT_1_CEM	7_HTH_CT_1_CEM	mouse gut metagenome	410661	not applicable	
SAMN10789294	8_HTH_CT_2_CEM	8_HTH_CT_2_CEM	mouse gut metagenome	410661	not applicable	
SAMN10789295	9_HTH_CT_3_CEM	9_HTH_CT_3_CEM	mouse gut metagenome	410661	not applicable	
SAMN10789296	10_HTH_CT_4_CEM	10_HTH_CT_4_CEM	mouse gut metagenome	410661	not applicable	
SAMN10789297	11_HTH_CT_5_CEM	11_HTH_CT_5_CEM	mouse gut metagenome	410661	not applicable	
SAMN10789298	12_HTH_RB_2_COP	12_HTH_RB_2_COP	mouse gut metagenome	410661	not applicable	
SAMN10789299	13_HTH_RB_3_COP	13_HTH_RB_3_COP	mouse gut metagenome	410661	not applicable	
SAMN10789300	14_HTH_RB_2_COD	14_HTH_RB_2_COD	mouse gut metagenome	410661	not applicable	
SAMN10789301	15_HTH_RB_3_COD	15_HTH_RB_3_COD	mouse gut metagenome	410661	not applicable	
SAMN10789302	16_HTH_RB_2_CEM	16_HTH_RB_2_CEM	mouse gut metagenome	410661	not applicable	
SAMN10789303	17_HTH_RB_3_CEM	17_HTH_RB_3_CEM	mouse gut metagenome	410661	not applicable	
SAMN10789304	18_HTH_RB_4_CEM	18_HTH_RB_4_CEM	mouse gut metagenome	410661	not applicable	
SAMN10789305	19_HTH_RB_5_CEM	19_HTH_RB_5_CEM	mouse gut metagenome	410661	not applicable	
SAMN10789306	20_HTH_FR_1_COP	20_HTH_FR_1_COP	mouse gut metagenome	410661	not applicable	
SAMN10789307	21_HTH_FR_2_COP	21_HTH_FR_2_COP	mouse gut metagenome	410661	not applicable	
SAMN10789308	22_HTH_FR_1_COD	22_HTH_FR_1_COD	mouse gut metagenome	410661	not applicable	
SAMN10789309	23_HTH_FR_2_COD	23_HTH_FR_2_COD	mouse gut metagenome	410661	not applicable	
SAMN10789310	24_HTH_FR_1_CEM	24_HTH_FR_1_CEM	mouse gut metagenome	410661	not applicable	
