bioproject_accession	sample_name	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename
	1_HTH_CT_1_COP	1_HTH_CT_1_COP	16S rRNA gene amplicon sequencing of mus musculus: adult female colon proximal section	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	1_HTH_CT_1_COP_S1_L001_R1_001.fastq.gz
	2_HTH_CT_2_COP	2_HTH_CT_2_COP	16S rRNA gene amplicon sequencing of mus musculus: adult female colon proximal section	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	2_HTH_CT_2_COP_S2_L001_R1_001.fastq.gz
	3_HTH_CT_3_COP	3_HTH_CT_3_COP	16S rRNA gene amplicon sequencing of mus musculus: adult female colon proximal section	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	3_HTH_CT_3_COP_S3_L001_R1_001.fastq.gz
	4_HTH_CT_1_COD	4_HTH_CT_1_COD	16S rRNA gene amplicon sequencing of mus musculus: adult female colon distal section	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	4_HTH_CT_1_COD_S4_L001_R1_001.fastq.gz
	5_HTH_CT_2_COD	5_HTH_CT_2_COD	16S rRNA gene amplicon sequencing of mus musculus: adult female colon distal section	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	5_HTH_CT_2_COD_S5_L001_R1_001.fastq.gz
	6_HTH_CT_3_COD	6_HTH_CT_3_COD	16S rRNA gene amplicon sequencing of mus musculus: adult female colon distal section	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	6_HTH_CT_3_COD_S6_L001_R1_001.fastq.gz
	7_HTH_CT_1_CEM	7_HTH_CT_1_CEM	16S rRNA gene amplicon sequencing of mus musculus: adult female cecum tissue and contents	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	7_HTH_CT_1_CEM_S7_L001_R1_001.fastq.gz
	8_HTH_CT_2_CEM	8_HTH_CT_2_CEM	16S rRNA gene amplicon sequencing of mus musculus: adult female cecum tissue and contents	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	8_HTH_CT_2_CEM_S8_L001_R1_001.fastq.gz
	9_HTH_CT_3_CEM	9_HTH_CT_3_CEM	16S rRNA gene amplicon sequencing of mus musculus: adult female cecum tissue and contents	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	9_HTH_CT_3_CEM_S9_L001_R1_001.fastq.gz
	10_HTH_CT_4_CEM	10_HTH_CT_4_CEM	16S rRNA gene amplicon sequencing of mus musculus: adult female cecum tissue and contents	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	10_HTH_CT_4_CEM_S10_L001_R1_001.fastq.gz
